Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
Gravity Infosolutions,Python Developer,India (Remote),Your profile matches this job,https://www.linkedin.com/jobs/view/3834856066/?eBP=CwEAAAGOAJbo1eqjzA_B81nesNusnNEDAzz-W_Up8t2IamfQy9NHHMi2bb5hsKzAXVS76vRLxB24PXGdt4zL7q2I2Glh8QRpC1SgjDx4drXT5wvQg85OCOXHEwjDcVkBDyx27f3_GSKu8u0fnXf56d5N3Kfsm4Xon5nTJS7nHIbMnsQbhfwO9YaRC2WDP53Zec0HCIz5-XlT8d99oIbH5RjPUyoIj6hzasI1mLqzblG4QKYWLRzYImsRxCUB18GPJY0V47ExgwJZaHvXiXUV9_9GNnBU9AkKic0dDmFYDDJiqTh4KqjGZ9QFEB9aYZdM7NJhS3kaz3F-gjk71T851LZCjlKIi6eMTzbJHZgB9Cy-tKOG4wts0bVJOWNrxDj2fwpO134JIJMr7Ip6JEVKsAK69aNxVJzmG0k&refId=vXwPt4zATVtTBnk4jyOvcg%3D%3D&trackingId=ocZGpXLEHJwQFQAhP0sRuw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Python Developer,"Hyderabad, Telangana, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3823727352/?eBP=CwEAAAGOAJbo1UCxSi122M26JrQyZTkqhHAXqHg7RUf904CFUoi_8SQBl2uof6jwRwe3toweGI6eyex2cJHDlsuaQlFc3ME1y-RdIz1u86pXa1qg69hVspl4IyNwxgFd8qbGTrFvrbPTB9cKyUPUvmlqEO8u4Z3BLqhMjLgn3rI0FaCyh4nC3gvZ4mXQxVkhbr6EekKZ6X1ZIPZ37z-oAnlDsL4PLigfx7D2MoV60b4xPLc1BOP7pkNNifSudeW81eWc9YkdP7fXwV5AT2FP30fbts0axcOFFlSiPV2cxCrHKA4utHi9fbYi5iLM_SUjHiSYXLV7nLJ0487-VGKEpyAXI6QiwJN1aDHNPbBHO-yQtosr0z667o341oM&refId=vXwPt4zATVtTBnk4jyOvcg%3D%3D&trackingId=gdgKu5V8WEK2JTdnGS4LPw%3D%3D&trk=flagship3_search_srp_jobs
EPAM Anywhere,Python Developer,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3830664571/?eBP=CwEAAAGOAJbo1RKbQ9HyhaMAiP00ENZvD3tHp62hykpu7D2xgGarPIa8aDgS4CiT1gZ3coqb7jTtedqh3XOw-bgh_nlVMw24mDRWJfKsLomepzKk2OCH5RxLuDlH2BPtURYnxqqrbaW6QRBNSip0aepKZ6xy-SY-duwbU13bESIXKdD_zxj9FxFe80wZmioGVWlyOdKtEKXt5Ns8SNw_XFdaJT-32lEjuwkD6DbHWIteffhrq59RhrdNa-NSE5Wqoz94MFGiwDRX6l66f1Ze7Y4aHD2SuSXpiFoIpgcWWjGkR_mty23XRb_k9mm9uK4xDvWZ6gV6Hglc3q1d6plRvywFgyTVbVwMh87U3PflUiAjv_UPD6wTGy4Cgs61NYK85C9_tFeAFARy4p4N9ugieg5yXOmjbGdyXco&refId=vXwPt4zATVtTBnk4jyOvcg%3D%3D&trackingId=e6mwtHZVoNK8iHqhdZ9qDw%3D%3D&trk=flagship3_search_srp_jobs
Fifth Estate Agency,Web Designing,"Pune, Maharashtra, India (On-site)",Your profile matches this job,https://www.linkedin.com/jobs/view/3838357977/?eBP=CwEAAAGOAJczm7aujOgJlzBM-f6vN5apaK_qZ74RATBs9dWEuEdoOOPEiqgzo4xNQH6kOuY9u5xFz8P7FHllqK42oiwpZx67qeMVtf0LYA3nzXPH61BKrmMrVH2Ue2bv8V9LMtoU0MfTimOVeIr8UVHjwj5OoMVhQ8FjKk48xELphXACcG8_GXxAnvZciLQ1uSTK4RZeztllhjFdg4YnKq5bj2OdMBTt4kA8KiQVvWA82OdHnULM7Nv_rvt5JwV6PaIi8yOR1nHY-801qM_taTztPugLG06zW2PVSLYTIduLs6K9-qTljJGotDNLfusg4Kv1-EB0DAAThO-MqR-rSwF46ET5aSUTW9BmDJSZgZZBgs18pfcOnuT3Uk3KoofFIaSa94khIkTeRW7iI9tFLlh3TO5uVfZLxGTxsz5TZRLQN0x66xkT52F085iJV7G-&refId=E2G9iGR22Gcif%2BedZzsC8w%3D%3D&trackingId=K5%2FKdXy5fpkL3VYx4MAXmw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Web Designing,"Bangalore Urban, Karnataka, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3820496947/?eBP=CwEAAAGOAJczm94IRcYfdlxw2tz54Cwtd-G8t-QT6bDIrLAZ7dxSpte3niiVG3pM2ZKXfOHiFYgarTVfp96li7aAYxfKfO5GmR-SYKhjoBrHuAp6iKtZuH6nkvmSGjwvS-1FLKWOqn26TRRSD7FrtcinXJ9RQDZaqBs1GioVM32ShDR_owIQIZ0P4R4QVq7NrWJOdsUWtHB7zSf5kCCcrCdwH9K_A0mDTeQwu2_fBb0d6KFOuQLx7sMkbVJqJRZmfXzMw0ElU69aG68qc76ptTs6RWuTUz00LrbWOI99a3_BsbFfCq4JCQRy7n3oeq-PpU7zL71hvqyL--Bbw8D_z1PYUCCl8CR3qaQYG6dvPNCPz1T0RiYwcWjMTViLR5zJBs-bIy6_9BD0R7_UW_PT4Um2utZ5XcJ5EIE&refId=E2G9iGR22Gcif%2BedZzsC8w%3D%3D&trackingId=VAEeho2rkoDnPi5FZ%2F5QIQ%3D%3D&trk=flagship3_search_srp_jobs
ArtiXio,Web Designing,"Hyderabad, Telangana, India (Hybrid)",Your profile matches this job,https://www.linkedin.com/jobs/view/3830971929/?eBP=CwEAAAGOAJczm-Q1sCQk84QvgCrF3UdYKYb0OLjHNg66AB9cc_gsqRQVoXjwFb1FtQdtEwq_QnXbwbKvdhwyhw3W9H-RYfF30d4OKaFMaZ0xxnM66CTv21qE7AsVWl-mQPpXvCS4t3-esyMx5zeavS5pP9ypcpKWog4uU8EYnWLZXHIVWf7X-umt8QA6aw3aClpMT1HIVv61SRc01a1k5EDqUxebR9mrbBqZQjPa6J7YFt5TupBSQrbhkZ-2uVCzDhKM3g-wY0q1CqEut3GvijqGXN9INuJ_ragO-7rp_dE0EuiwUAcA2_tlvmS-ZseAH9t2c5Xo3ArEe9z2PprHChwM2MmjvM99r9qRuJ2zfdpjktdW5t9cdt4ifmGuokWrxTdyUHEHurikyGC5YvCQrvsWNkGCh8VI1b23yEf2t5k1xcCG9eyhqmgnJ4Z0Wa267A&refId=E2G9iGR22Gcif%2BedZzsC8w%3D%3D&trackingId=fjh%2FVPP6xAeWAy3BWIN7VQ%3D%3D&trk=flagship3_search_srp_jobs
Google,Web Designing,Mumbai Metropolitan Region (On-site),2 connections work here,https://www.linkedin.com/jobs/view/3829448437/?eBP=CwEAAAGOAJczm0VLu0piznOpixc1WfUjYwzhZOkDc_fN4YQg2igtzPGGxz36-ccbue0-h7EfSV32p9sWpJt8PvggFWTETP-VGg7jHr-qqRM93S6e8sohK901_wb2sp7sn4EqZRIM9zvVvIOV9DvdOxc0XeOYDdn7toNW5MWA5xpdX8ow01Y2x7K3IhuoVurR_bkcZ1TSb9ppqkYtzsXlVgL84ZMjCixIonp1CXJOe9URT84Pkj8J1uYnTnxbLcUMNl0exJYWtBEps6wcrP6OVkosgIvG_vM9lWNCUjmxkRI9015OEj6vPS1BxmcnpNMZtTg3_JpYl_zZBYHZY3bbr9JqtrXDohti3Vd_E8IcGfflhqUJElemTK04bdY&refId=E2G9iGR22Gcif%2BedZzsC8w%3D%3D&trackingId=7OlevepjCs1OL1ZN2CgtrQ%3D%3D&trk=flagship3_search_srp_jobs
Calix,Web Designing,"Bengaluru, Karnataka, India (Hybrid)",Actively recruiting,https://www.linkedin.com/jobs/view/3836881192/?eBP=CwEAAAGOAJczm6c6DiYiCgT_LiRE_GdE9DTykv1O-0sSo1lT87HUhDOUgEtbgbL_kzs40XE-fHLPitdIH9IRaj8DBZX8s8ZAslHaOKVfhIG-OobxRneivj_hgfJmdXnJIayE7DpViyFlJtJxRIQQe0fdx7A8jgOsYdJWjo5KTock2ozudkQDby6ch_xR6VBpAweFuT8bIIufX8J-dG4H4Q8a73eTaNmomozTaxplLOawbIUyzyN1ZKqm-5PipkChE-k3gnvkd6jOF3ce6VlXgLy1uUX5_X_qxKllw6A2VMMfdtF9VrI2avKnXCqiv3Zg-k0VJ2b-hBGli0Dk99XfIeYA7NBrQ8X7ZlqowXNFMFKRyJnUqz4O2u6nxT-x0ou4cg_44Dis1SXQ0MxmZY08C-iO_JqmNAe0Lo0&refId=E2G9iGR22Gcif%2BedZzsC8w%3D%3D&trackingId=EUmArgX9PxVRPwZ2x1QSVQ%3D%3D&trk=flagship3_search_srp_jobs
NextLevel,Web Designing,"Bengaluru, Karnataka, India (On-site)",Your profile matches this job,https://www.linkedin.com/jobs/view/3819953513/?eBP=CwEAAAGOAJczm3s4os0YDthnCYt2L5WnbjU1aBRtHLJqk1WYqyNg3lY1Bte5eUweXYYThrokSo-c4B_O54mvxo_hwwRwhc5uqLuy9suilODTmtF9pJxqXvXMPcU-swI6MGIoj69HiPjXUMg2ODei1YUcxth4Aa1azfC7Pe8vsUhu3Lkq-2mrKkb7kbg2NJ5HBx6Pk74QpJEAfDfPppZeS8A1S68b5JrtfwBUj1OOvykSJCMkkSKZi9aIKfa6DCMiBBB1f8UjfJ2v4vyA221NZXDTNJ6KCJRcS0bqwxhXD5btLwag4Fi4Gb4-LG_o1JRRYH6hhZblmQUCZn9ur3yUBwolWfD94ulpJmx_6jWxF3h6Z8vFeXexsWH3ziNqWjuhq28E5lYfRjo_CYePbYmu8MaiSFN5BVM-a04&refId=E2G9iGR22Gcif%2BedZzsC8w%3D%3D&trackingId=OAdNrHBBP4HjSHMVoODfUA%3D%3D&trk=flagship3_search_srp_jobs
Think Little Big Design,Web Designing,India (Remote),,https://www.linkedin.com/jobs/view/3828588564/?eBP=CwEAAAGOAJczm827lldjgGhL6b6iBmpC5lSeeSRlpfy9wkYXm1sn3jQcYrG0QICJMes_WWabc6po3aB5yeEpjiI1g0stuDXpLa0uv9k0tW443JwJeApGyWIAfouIF2-qdh-qvSR9TwrNmuN55NGxUHvCHe6oB9JERTO9551VucLuWalCdNXiMGEToQe94Qh-7uHrNgy86hFNrYSGZ1QxEmaz9TTgh-btcXmZ74DY67LIevgvyHOWcQkaxkNy38V1U5851t_PNpPJkwUx_K2ny9Qmnng_IwT_jHp_GZIxxn6rEFUNR8KIFLCWJbJ95NoHrgpVQ_NkiFbpAG3PvU-ZUHOCsyFJ0drMZVP2YE3dkLvuaTkImcBXV6QYLXV_AWxGfsM6tgsoFjyidJI8-KJ-QdjP&refId=E2G9iGR22Gcif%2BedZzsC8w%3D%3D&trackingId=vwTMHoQoTMUOfxy0ERF64w%3D%3D&trk=flagship3_search_srp_jobs
PeopleLogic,HR,"Bengaluru, Karnataka, India (On-site)",Your profile matches this job,https://www.linkedin.com/jobs/view/3803930454/?eBP=CwEAAAGOAKCruyndrQT6IUH5JulHQDIzXrcdVRU5ZiJ1wKlDev5cavPuMNLUp0FL-KzR-nfOusM9x7p9duTLi9PTTKk9y0yUhhFiFOyWOSA1aQoSEZ39v3MEqt4dlasVHDP0VAnEg0zxeN71ngnHo_F_rqQmXfr8XQS5i5HWBQGSTI3YzP-jkMsUmEeIZYSETu6NsSyU05YWNNx_5Fu_8K5FMwdWy6ofRtRhDwhkZ8Eut478dtSn0tWWPztuT5p4BEwP7d4_VML5_vaPoPmw7k-uQ-E4JB53gK_l61MPhk3AXD9tWzCmrg9aw-DKKBhp-NNJWcK_1lG_cUF5dJvqHsGCfOhr4ZSWy1AiPEVhvH4SJ0b7tmv6Dn9L9aJ39RBVhN-Pj4-o9NCPz4VTWe0sO3u2TWT3NwM2&refId=7jFajQOoZIdEKfBT5iwU1A%3D%3D&trackingId=i%2FJpRCqJIpp9psB4rHAM8g%3D%3D&trk=flagship3_search_srp_jobs
Future Factory,HR,"Mumbai, Maharashtra, India (On-site)",,https://www.linkedin.com/jobs/view/3842944488/?eBP=CwEAAAGOAKCru4jjmGTcgw8WRcjrSYlOzmGu9PyBcHo7lcrBt0IyHBwOb_fVpBfu1kBEbOvzaOIN-oxVMsNeCoIHxauIAKNIG72Qs0NarxslXFXbkSfumIXOH9ofXMAkDC-GR96LRA5A07NPFHDqsQ6EGsUqoWPNHt-5KCRhGvDLLuxwBpc48TPS1sJ_Phkg3bMdwJlLs9SdlAJ3ajXRhPoBqLXKU7BIPpGdJDpZ6f8_bhEkBXseKu7kQ1OdNmz20qFJt7RbPko9TSBN_wWe1Ovn0_ncWsMdEHaVWdwcubHL9ug_XTioAget5G0ULcKhjYN1v6DkR_CcIy2U_m-DMW8T4pohnO3NGaKTI3KBb-I248--yOneO4VAprAq2uYnbBuGh92NWlkNxeXYkYxKlgec3Saf1iuhxYzsQYor9Q8-U2T7mVUpa8wtmjnP&refId=7jFajQOoZIdEKfBT5iwU1A%3D%3D&trackingId=awA5ypsWXWq1MsqWx0PcAw%3D%3D&trk=flagship3_search_srp_jobs
Marriott International,HR,"Kochi, Kerala, India",Actively recruiting,https://www.linkedin.com/jobs/view/3829191994/?eBP=CwEAAAGOAKCru3WzxLw99us0w4Vj2HxqhoF_5EAFO-vSKiH2rSCyhBXDJRZr56Vciq7Z6Kp4A4cFiCmyClKNSu3Ge1Nwyz5pScG8CsOsvgZxMY1S7IhhwHUx25BxQlQpZK994VF3ghdGgYbcgSmJQdP0nbGSpt6BZxVf-fWxaanXAAa02yDBGl96G4Z17NsGhcsUTzLEsNmqdGdknY3aozlu4ODNGYyf-8jyqBFI6h98zDqPi1GfZq5PRZvAXY7aMxvyhXXxbJiBAzg6PkfcXdDw0vXViqAsrMBj66or4-vCFg3F58I2ei-Rm7z4OwczB1l90kKgbGGxqT2qHUN-YLHq2r3aQxKV2NhNEDeAKWjlJmjL2Qs7Pfi9JQVYXjxQeFXXaWR6xNtaL2z3IH9VuoP61ALNRRAMifs&refId=7jFajQOoZIdEKfBT5iwU1A%3D%3D&trackingId=rmDUtn0VVOuwnl4LtPqqpA%3D%3D&trk=flagship3_search_srp_jobs
axefinance,HR,Mumbai Metropolitan Region (Hybrid),Actively recruiting,https://www.linkedin.com/jobs/view/3840037409/?eBP=CwEAAAGOAKCru3iJb95cNfPWgQobFmtGSn0kjISVzCIfoOjOUUKeKhKqv6NzPDeZ-OtPR_hMYp2DrFYNQ9GA-6dwEzMW416NdFAuua0woDe9SaicljhnDH_d96szdbtnT2bW1l3Dmt1NogGDaGlDvoXwAxyyq7-MHkKgp9lZzAsyBH6bWnvD_BrO-r8PjmHQcFpziQw24vWq5TsOXjYMlDDCy6-9N-QnWYASMdZ1lUtqo2DIA_xjjVABbOxAjCM0U_IFLoFYnQvfU0fbTP1GqkGQ6shlkXbIlcyxzxm-bP7sF866grrZ8Czj4n7NThe-BR0L2Bspttd6AVBCuLGa0fLgxKC94EM2p3br4SqNAt1X8nPgFuvtcl3nIspjbYW3ndRmzdqRoVO_FgdtpU2jymrg7ukAt6rS&refId=7jFajQOoZIdEKfBT5iwU1A%3D%3D&trackingId=%2B0QUDmZlHKSZWJxk83wxtQ%3D%3D&trk=flagship3_search_srp_jobs
Marriott International,HR,"Kochi, Kerala, India",Actively recruiting,https://www.linkedin.com/jobs/view/3829191978/?eBP=CwEAAAGOAKCru7yasCwxLY6jAmwf9Xjd6SS6hwxjni1dxg5RAj0CVCYz2Ikj9fqu8yARba6npGe3kZR_zVZf7iHgdT1B8TNI1nsEqizJXDJYBNt7oXgOilR5zbJeGmc2YcGtv9K-W-O6jqOYfTcO9uLlPft82RT2F5tOCtrFeiLFttmf7DREZIyqCue09tREU4DQXEUSHfR6KMarSJAQ1P8RiuWE_QwZgfwAjiAzuFijVNcZjoqfJWDbujkII0LJi1JMMJ6XG5_5S6oIB4x9k-kiu-oZ1ZhBGRVbIALWqxK9DSkoPzGyc52qhSD3awbucaM4woUvgoQNPGqa5xeLGASoJr1G62WMZbVJZ5MkvELlGgFg5g1db7Og&refId=7jFajQOoZIdEKfBT5iwU1A%3D%3D&trackingId=kueN7lHNfoicySjCDZ5RZw%3D%3D&trk=flagship3_search_srp_jobs
HERE Technologies,HR,"Navi Mumbai, Maharashtra, India (On-site)",1 company alum works here,https://www.linkedin.com/jobs/view/3815749667/?eBP=CwEAAAGOAKCru-f5ZpnAGot4X0W64-kvz5jdi5oXAwSk2vlgOqf9p5eowkdZJyUpF54lVF8UXYug1WxoAz0A33OpyFwcCBb8q-SbdSpar9inPEwRRoX3DZOmo56mdmMBAv-DDXTK1RAGrzzp_X4-7so2dMdQYmAGyBobTwEyEGRLxyqk3SXsmeED53LokQ1uWUSbW7HHZIA_XZiLrn23y_FZD5Y7iY-rjp7-Ab9dYqE3IKPWom-kr_o13bceOaV0wGQi1CCiCLjM-zwDKh6_sAo7DDRVlcRLNSNvw8-eb0fZJeMP_BZjPth8ZX3Tw7nhkm-gn8jY6eBN7Bti7C3blH_P3np-VooD7dhmkEI07GeLjZTNjb7yUK70pksPvc84b6SuPpvFYAFHVPKVGN5Y2rbiTLsTKYHQFjE&refId=7jFajQOoZIdEKfBT5iwU1A%3D%3D&trackingId=8OMcShAEMtmlEhqqzgUYAA%3D%3D&trk=flagship3_search_srp_jobs
Sanver India Private Limited,HR,"Mumbai, Maharashtra, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3836868149/?eBP=CwEAAAGOAKCruxs91j3BOzFiilZLPXAMC48FgVw5ANxgXHqRXWfP6McgZsgPATjxM-Vx5Un08DrSWM3dDh2BOsZMbloaIoCkCwTCCatxGtfjXzAVKpXpe95wVqeAfgwVjO_GAPtlI9ez1XsCBTXC0EvnwvKy-0WQXfqj9k-J_AgKE3kvtFcKwuli-0bMStNRkTPAuTp1VwWDLXZS3myQnENOVMFzPu8DWzAHZ5FHhdbMtjFm2O--cPMUNW_0dTBX1AJzyGC8Fn-dJsiN6CIGN87tqFGc9KGgfqfctmk69wJa3TyLTPr_Refa44yYNv0-mlAvIV_VAV1zHSBuZLSJ3nmOKJEa_aHgakl2fs3QLJ95C_akH-fEoASMG4LL_QwMu2OiW7csTL3Vk7zqEvXG0Q&refId=7jFajQOoZIdEKfBT5iwU1A%3D%3D&trackingId=S%2BzXQFo1GHyNAvIHz7Gfqw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Hadoop,"Kochi, Kerala, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3835388608/?eBP=CwEAAAGOAKEeIOSl28WUEnCZqL6ImvvkdcL89RUn6lZ1v2DzK1cQpWwfpjvg0XLUkoc_vBODiDO-4ft2H-HjtQPu_5N7dedjZs0trICuIIPROl5K9OS2wLIdWx_8_Mfhx5cehhvIWmGQRiB2X0gsyVh97WfM2nRkNkiLYZKOETr971qE0b57teqZD6cSu7_daR7Up7qBSdsgUFOmNjzpqEwstA-RJtOzd7SCLrftu6RIAJLKYz0L2G5YTKUfaNgjyhTagJqd4THC1UDHKxNhizbwHfTXZ1-NTvlptFono5_wxspr-KjLJTmn98LBQ9VtKCmNsFD6SmoyAFHaZfk_xMSaGGEXj4lXkKmK3nHwMulHH_nmPQ_oyrtxNK4MsM-BS-qWc3cLjd8wCe-Xx3iFCsAVj3USmwhDkOI&refId=PdBM%2BNtYFCTEaJ5VCi67KQ%3D%3D&trackingId=nvr%2FKvO1I0Rk67AIbJL%2FLQ%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Hadoop,"Chennai, Tamil Nadu, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3802011873/?eBP=CwEAAAGOAKEeILNF6WshRqsekuciYQ36s9MfL3sbY_vRv6kimeQ73h47YG709QPuBqVmYMUF1IG9vspDDwRy4e_ZfUp7QN8reBvkmvYYIOfRaji3sLM6RqEaPdPJRHmRVLmxhGPAS5LO7MJBwdmyDvbfAUdc0DwVKl1wlcyKFx35tSOArZu8R7V_PpGHJ3flh0nSpxJHn7HBjAzSg8oghOF0xQff83wNzPfccNtEEQAYXIES_K0LR3y71HmdIDB07IIUFvjfuWN8RXAAHQbdHr20nDbtNk2I91cbzIgpT8XVHqZ1MA9rbU3keiSZa_aG3Ux8DhIoSO3jJD1Dw0GE4SgXvw_RFDazr6M5PFypDU048Kr1zqdi6OBIkRBFnOpEB3gksZbH3KfBekCOE-qJmzJUZWLrUtLD4jc&refId=PdBM%2BNtYFCTEaJ5VCi67KQ%3D%3D&trackingId=z3IX39%2FFDl9TpizoVM4bhg%3D%3D&trk=flagship3_search_srp_jobs
Virtusa,Hadoop,"Andhra Pradesh, India (Hybrid)",1 school alum works here,https://www.linkedin.com/jobs/view/3841925808/?eBP=CwEAAAGOAKEeIBC8Tz0PuuNIOPhjr1gYh04h5jlgYQffFcMo1Lvcs89iYnsvJnuCjEtxV3GDdmiz7Hrjn4Y0p_m343_rha6D55JIgZd63g2W5I6Fz4MOs4wdFxzkmmaVQvL74_rnHwFzv1YeFsSicnjv20sZ8l02Zh4XV2wbzIIgPjixLaPpzxlDnFs1Tfzx-92f0q93kJdWC0rvTMEKWtnDOjOzPB2l8dLxMkSClWvthLp7jUdm3uoG5KQzRED4TmT4HZ8kiKQxmDBhzTCR5sGqLki5T0JxdsgeGqm2gRxKyPVPealTPMdHlJiSAbogGMbmO4VhbinJEGVB0L4Nw0Yh2rxeD-OrIAE9TiSOW15ytgb8DmOZxHzQyryZk58TyXUz3JJbCMWv8jBnRyUwuP0YleyHXYemkd0&refId=PdBM%2BNtYFCTEaJ5VCi67KQ%3D%3D&trackingId=zoW32pQBZIpRiav2rquG7Q%3D%3D&trk=flagship3_search_srp_jobs
Virtusa,Hadoop,"Andhra Pradesh, India (Hybrid)",1 school alum works here,https://www.linkedin.com/jobs/view/3820387625/?eBP=CwEAAAGOAKEeINdU-8pyop8yt8nt75uzP2_j-Fb5TQZPweiEJAScYoZMQnFHZvUEdIwMdQlzENtcSBOyjvsdeAnbtZnNtPfYD5PoCywTH2QLF0W3iHZZmA6PN7mMW_Vt2zaXj8VT7oKhX-fihxQB0UwcOwBuvijsqH7jOU8fUcIk6rAoLV73sfL3HHNw8MAZGz5xHnhap62nMikN0H-fZj7TPvvcDZWTGcEABvtEpEvCiXqwkc93zrkEJOYpfu3ULSoL-y8bJyL5YEeemJeHWJR4adLskfwKTlNuC9axHFwlvjaxWtbIni-CO_X3nh9A5IKWdxubjhSQ2svQ74kffEi2AbDvWFSNBhxQgBDsvsr7UMYjJwvr6zPx9X5FvU438g11eBG-X2E1MGbtSfnehroMGG5U0TppFhk&refId=PdBM%2BNtYFCTEaJ5VCi67KQ%3D%3D&trackingId=ZIcsdJ6JczdCAPHdsbJH%2Fw%3D%3D&trk=flagship3_search_srp_jobs
Tata Communications,Hadoop,"Chennai, Tamil Nadu, India (On-site)",3 school alumni work here,https://www.linkedin.com/jobs/view/3822420143/?eBP=CwEAAAGOAKEeIJU2hkXlY2VjYXKqBJQZ3XMQQtqckb7dvMUdN_ft1tME6IKcR5E19BGiU4udN8ydj1PUm4NcfCKmaLXpug_p83VlLP7HsUz_tiKyvhYEtRt3TMpaiS2AM56F0hn6-Y8aXC8z_UC6qWCYK2yolQMYSIEtF3U0PYwi4z5ucN-psdF3Vveh5ZYu6uuyQ7JsvfMiebPsukUhwcC5Vf5_FhIzhlQ3m1U1PjStgXj67cjUe1UNXuwCEzJReP347UmpDHxMzVdU8aYY4NyEGTLlEFexTMGvCxccFDoxngNIgnK9vYOYtwC0ZMmOGFrGYOZAzvyNUiy5eLGN6801nGn3vlYLK8988cUk5lCr5G6aqHAnczKO8hkJpzuxL_0aq7iwRfqi0X9jJSzns3kkQSrcrKeL&refId=PdBM%2BNtYFCTEaJ5VCi67KQ%3D%3D&trackingId=vvvCSWlzZL0srFugrvTauQ%3D%3D&trk=flagship3_search_srp_jobs
Grid Dynamics,Hadoop,"Bengaluru, Karnataka, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3821356552/?eBP=CwEAAAGOAKEeIF3kVHO9bNpmI4FxXp90T-uIMOz3cR-EepmeiGJlhrKbr_jOcjvWQ3LJY51WhJt-f_Ns8f26RdulZLz4RF5j9uw-znv2-8GMO28XQtF1mtpHyrhP8Z5oCJMl3Mq5hZQlByJmRKmaIilKHSzxWaWsgYIMppZ7dYij03_zzbUX2_Wsvlk7tmNYq139gG6f_ay8o7LOuzRe0tytpOb0ShzGhzqmbcT3YE27wx2pdkoR5PysLh_W9uRY8gRQArZBqRsyOrNjLDK76JcWrXWWH3bvDCiHnYDHmZZNRF4gEOIb8tr_ORMosn1dG-LkfN4hdprgwvjxTQbtr42Je8V11ZgG0VKarSIk10PZMQWLY1FudWNy8KhK1aed8glLY2O6XzqJ3z0nfXk01rDSTmosE_SnB6I&refId=PdBM%2BNtYFCTEaJ5VCi67KQ%3D%3D&trackingId=6UblzvGtjDNVe4IBLnBnaw%3D%3D&trk=flagship3_search_srp_jobs
Virtusa,Hadoop,"Bangalore Urban, Karnataka, India (Hybrid)",1 school alum works here,https://www.linkedin.com/jobs/view/3835421397/?eBP=CwEAAAGOAKEeIAZEdPAfx_eJfWeDH7Ndtq-Nob30VTqiVZFnMSN8gE37152NpPcyDHSJY3MfUVHKaxVW2O7WH24j1zxT7S_GSbvRB_FhRIy-ywahdPykkNa6h2uSOV0qS5pHHSgTsQn96b9tWmVm0fybs0V5Zcfh9iLsrUkrHcS1_byu-AvrC6LIfZh9ceelc7UrQbLtRUPwMaPKBHbS-dVuv8OyfgikB6BpJnTmMvxpgxxdUPsOjMRYEjCDh2GGeu4KyI2fhUrXXoEV9Mxy9SjthRywHHloDgmr_UWyC8yHgFMB_e27IrwpKR4AbArHzolJZeVtFe5PTc_V5aBow394b1S7JRHXubqkXjEqRnZEAsI3_cg5YYRMVQsHzQAa4R5AGrivk02bMt8SDJ0QwgiX5MNJ1KPcNCbg9A&refId=PdBM%2BNtYFCTEaJ5VCi67KQ%3D%3D&trackingId=VudIxWdbt8MZSoGYzpo1tw%3D%3D&trk=flagship3_search_srp_jobs
Oracle,Blockchain,"Mumbai, Maharashtra, India (Hybrid)",11 school alumni work here,https://www.linkedin.com/jobs/view/3834346504/?eBP=CwEAAAGOAKGFjB_FFElPaE1dTj0Wv39XerUOhOGGLRuYFPbmbg-zZeZ3DQ3MzV3R2HIgW40cexAQzBuhfvAcgo8cYabkRvwMwru4MroPb0HOHhAqhxbjFZJFpRR-SIwZuksL7tBPXn53Bz6yN4pCGUZ6Oz9V3jnW6k5jXmDtylzPllwKBU0WtpHy-bdqkwtyRRRjnCLlQG83ck32zUH22q71iylwudoREi5hWC9GGxpbUET9majVTwiBoB2AzTB8EmW57HtMLum_AVmpuip2o-geEaoPXRix9dfD9nxBjmu5uxhs-Tae8f48lgUU7_I1oT-jp615gzr0c2hMKwdPQQ91yexgPttr0R_Ztf5aVd1igTGwBzffU1TPZzXLJVp19iEGnR8rt3d61_A6-zc358t6s67WMh6W&refId=a%2FBaX01MbmB0c4tOHfS3iw%3D%3D&trackingId=7jKmwnxyDLEZSWML9%2BHxZA%3D%3D&trk=flagship3_search_srp_jobs
